#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Mar 18 00:43:03 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       miniSpartan6_plus_top_map.ncd
#OUTPUT FILE:      miniSpartan6_plus_top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,PORTE<5>,IOB,IO_L52N_M3A9_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
A3,PORTE<3>,IOB,IO_L83N_VREF_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
A4,PORTE<1>,IOB,IO_L1N_VREF_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
A6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
A7,,IOBS,IO_L6N_0,UNUSED,,0,,,,,,,,,
A8,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
A9,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
A10,PORTA<5>,IOB,IO_L35N_GCLK16_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
A11,,IOBS,IO_L39N_0,UNUSED,,0,,,,,,,,,
A12,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
A13,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
A14,,IOBS,IO_L65N_SCP2_0,UNUSED,,0,,,,,,,,,
A15,,,TMS,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,,IOBS,IO_L50N_M3BA2_3,UNUSED,,3,,,,,,,,,
B2,PORTE<6>,IOB,IO_L52P_M3A8_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
B3,PORTE<4>,IOB,IO_L83P_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
B4,,,VCCO_0,,,0,,,,,3.30,,,,
B5,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
B6,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
B9,,,VCCO_0,,,0,,,,,3.30,,,,
B10,PORTA<6>,IOB,IO_L35P_GCLK17_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
B11,,,GND,,,,,,,,,,,,
B12,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
B13,,,VCCO_0,,,0,,,,,3.30,,,,
B14,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
B15,DRAM_DQ<13>,IOB,IO_L29P_A23_M1A13_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
B16,DRAM_DQ<12>,IOB,IO_L29N_A22_M1A14_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
C1,,IOBM,IO_L50P_M3WE_3,UNUSED,,3,,,,,,,,,
C2,,IOBS,IO_L48N_M3BA1_3,UNUSED,,3,,,,,,,,,
C3,PORTE<7>,IOB,IO_L48P_M3BA0_3,BIDIR,LVTTL,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
C4,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
C5,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
C6,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
C7,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
C8,PORTA<1>,IOB,IO_L38N_VREF_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
C9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
C10,PORTA<7>,IOB,IO_L37N_GCLK12_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
C11,,IOBM,IO_L39P_0,UNUSED,,0,,,,,,,,,
C12,,,TDI,,,,,,,,,,,,
C13,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,DRAM_DQ<15>,IOB,IO_L33P_A15_M1A10_1,BIDIR,LVTTL,1,12,FAST,,NONE,,LOCATED,YES,NONE,
